
TILING KEYBINDS
---------------

C-Right       GrowToEdgeEast
C-Left        GrowToEdgeWest
C-Down        GrowToEdgeSouth
C-Up          GrowToEdgeNorth
C-KP_5        GrowToFill

W-KP_4        Tile to left half
W-KP_6        Tile to right half
W-KP_8        Tile to top half
W-KP_2        Tile to bottom half
W-KP_7        Tile to top left quarter
W-KP_9        Tile to top right quarter
W-KP_1        Tile to bottom left quarter
W-KP_3        Tile to bottom right quarter
W-KP_5        Place in centre

W-A-Right     MoveToEdge right
W-A-Left      MoveToEdge left
W-A-Up        MoveToEdge top
W-A-Down      MoveToEdge bottom

W-A-KP_9      Move to top right
W-A-KP_7      Move to top left
W-A-KP_3      Move to bottom right
W-A-KP_1      Move to bottom left
